CODIGO;SIGLA;CAPACIDADE
EIC0003;1MIEIC01;24
EIC0003;1MIEIC02;24
EIC0003;1MIEIC03;24
EIC0003;1MIEIC04;24
EIC0003;1MIEIC05;24
EIC0003;1MIEIC06;24
EIC0004;1MIEIC01;24
EIC0004;1MIEIC02;24
EIC0004;1MIEIC03;24
EIC0004;1MIEIC04;24
EIC0004;1MIEIC05;24
EIC0004;1MIEIC06;24
EIC0004;1MIEIC07;24
EIC0005;1MIEIC01;24
EIC0005;1MIEIC02;24
EIC0005;1MIEIC03;24
EIC0005;1MIEIC04;24
EIC0005;1MIEIC05;24
EIC0005;1MIEIC06;24
EIC0011;1MIEIC01;24
EIC0011;1MIEIC02;24
EIC0011;1MIEIC03;24
EIC0011;1MIEIC04;24
EIC0011;1MIEIC05;24
EIC0011;1MIEIC06;24
EIC0011;1MIEIC07;24
EIC0013;2MIEIC01;24
EIC0013;2MIEIC02;24
EIC0013;2MIEIC03;24
EIC0013;2MIEIC04;24
EIC0013;2MIEIC05;24
EIC0013;2MIEIC06;24
EIC0014;2MIEIC01;24
EIC0014;2MIEIC02;24
EIC0014;2MIEIC03;24
EIC0014;2MIEIC04;24
EIC0014;2MIEIC05;24
EIC0014;2MIEIC06;24
EIC0014;2MIEIC07;24
EIC0014;2MIEIC08;24
EIC0020;2MIEIC01;24
EIC0020;2MIEIC02;24
EIC0020;2MIEIC03;24
EIC0020;2MIEIC04;24
EIC0020;2MIEIC05;24
EIC0020;2MIEIC06;24
EIC0021;2MIEIC01;24
EIC0021;2MIEIC02;24
EIC0021;2MIEIC03;24
EIC0021;2MIEIC04;24
EIC0021;2MIEIC05;24
EIC0021;2MIEIC06;24
EIC0022;2MIEIC01;24
EIC0022;2MIEIC02;24
EIC0022;2MIEIC03;24
EIC0022;2MIEIC04;24
EIC0022;2MIEIC05;24
EIC0022;2MIEIC06;24
EIC0022;2MIEIC07;24
EIC0024;3MIEIC01;24
EIC0024;3MIEIC02;24
EIC0024;3MIEIC03;24
EIC0024;3MIEIC04;24
EIC0024;3MIEIC05;24
EIC0024;3MIEIC06;24
EIC0026;3MIEIC01;24
EIC0026;3MIEIC02;24
EIC0026;3MIEIC03;24
EIC0026;3MIEIC04;24
EIC0026;3MIEIC05;24
EIC0026;3MIEIC06;24
EIC0032;3MIEIC01;24
EIC0032;3MIEIC02;24
EIC0032;3MIEIC03;24
EIC0032;3MIEIC04;24
EIC0032;3MIEIC05;24
EIC0032;3MIEIC06;24
EIC0032;3MIEIC07;24
EIC0033;4MIEIC01;24
EIC0033;4MIEIC02;24
EIC0033;4MIEIC03;24
EIC0033;4MIEIC04;24
EIC0033;4MIEIC05;24
EIC0034;4MIEIC01;24
EIC0034;4MIEIC02;24
EIC0034;4MIEIC03;24
EIC0034;4MIEIC04;24
EIC0034;4MIEIC05;24
EIC0039;4MIEIC01;24
EIC0039;4MIEIC02;24
EIC0039;4MIEIC03;24
EIC0039;4MIEIC04;24
EIC0039;4MIEIC05;24
EIC0040;4MIEIC01;24
EIC0040;4MIEIC02;24
EIC0040;4MIEIC03;24
EIC0040;4MIEIC04;24
EIC0040;4MIEIC05;24
EIC0044;5MIEIC02;24
EIC0046;5MIEIC01;24
EIC0050;5MIEIC02;24
EIC0057;5MIEIC02;24
EIC0062;5MIEIC01;24
EIC0070;5MIEIC01;24
EIC0071;5MIEIC01;24
EIC0072;5MIEIC02;24
EIC0083;1MIEIC01;24
EIC0083;1MIEIC02;24
EIC0083;1MIEIC03;24
EIC0083;1MIEIC04;24
EIC0083;1MIEIC05;24
EIC0083;1MIEIC06;24
EIC0084;3MIEIC01;24
EIC0084;3MIEIC02;24
EIC0084;3MIEIC03;24
EIC0084;3MIEIC04;24
EIC0084;3MIEIC05;24
EIC0084;3MIEIC06;24
EIC0086;4MIEIC01;24
EIC0086;4MIEIC02;24
EIC0086;4MIEIC03;24
EIC0086;4MIEIC04;24
EIC0086;4MIEIC05;24
EIC0087;5MIEIC01;24
EIC0092;5MIEIC02;24
EIC0096;5MIEIC01;24
EIC0099;5MIEIC01;24
EIC0101;5MIEIC01;24
EIC0104;5MIEIC02;24
EIC0108;5MIEIC01;24
EIC0112;3MIEIC01;24
EIC0112;3MIEIC02;24
EIC0112;3MIEIC03;24
EIC0112;3MIEIC04;24
EIC0112;3MIEIC05;24
EIC0112;3MIEIC06;24
EIC0113;5MIEIC01;24
FEUP002;1MIEIC03;24
FEUP002;1MIEIC04;24
FEUP002;1MIEIC05;24
